date,flooded_area_km2
2023-01-01,2.7987500000000003e-05
2023-01-02,3.3385000000000006e-05
2023-01-03,4.0100000000000006e-05
2023-01-04,4.088750000000001e-05
2023-01-05,4.0952500000000005e-05
2023-01-06,4.307750000000001e-05
2023-01-07,4.334750000000001e-05
2023-01-08,4.401000000000001e-05
2023-01-09,4.523750000000001e-05
2023-01-10,4.644500000000001e-05
2023-01-11,4.406500000000001e-05
2023-01-12,4.3017500000000006e-05
2023-01-13,3.8975000000000005e-05
2023-01-14,3.73075e-05
2023-01-15,3.848500000000001e-05
2023-01-16,4.181000000000001e-05
2023-01-17,4.3882500000000005e-05
2023-01-18,4.317000000000001e-05
2023-01-19,4.398500000000001e-05
2023-01-20,4.3672500000000006e-05
2023-01-21,4.01975e-05
2023-01-22,4.17275e-05
2023-01-23,4.038750000000001e-05
2023-01-24,4.2430000000000005e-05
2023-01-25,4.100750000000001e-05
2023-01-26,4.287250000000001e-05
2023-01-27,4.484000000000001e-05
2023-01-28,4.317750000000001e-05
2023-01-29,4.233500000000001e-05
2023-01-30,4.243750000000001e-05
2023-01-31,4.516750000000001e-05
2023-02-01,4.702750000000001e-05
2023-02-02,4.6205000000000016e-05
2023-02-03,4.487250000000001e-05
2023-02-04,4.0857500000000006e-05
2023-02-05,4.179250000000001e-05
2023-02-06,3.867000000000001e-05
2023-02-07,4.0857500000000006e-05
2023-02-08,4.271250000000001e-05
2023-02-09,4.295000000000001e-05
2023-02-10,4.283000000000001e-05
2023-02-11,4.140500000000001e-05
2023-02-12,3.802000000000001e-05
2023-02-13,3.8242500000000005e-05
2023-02-14,3.838250000000001e-05
2023-02-15,3.865500000000001e-05
2023-02-16,3.953250000000001e-05
2023-02-17,3.9695000000000005e-05
2023-02-18,3.846000000000001e-05
2023-02-19,3.991500000000001e-05
2023-02-20,4.146750000000001e-05
2023-02-21,4.001750000000001e-05
2023-02-22,4.031000000000001e-05
2023-02-23,4.0100000000000006e-05
2023-02-24,3.9407500000000005e-05
2023-02-25,3.918500000000001e-05
2023-02-26,3.844250000000001e-05
2023-02-27,3.7597500000000014e-05
2023-02-28,3.62225e-05
2023-03-01,3.898250000000001e-05
2023-03-02,3.9175000000000004e-05
2023-03-03,4.082500000000001e-05
2023-03-04,4.0900000000000005e-05
2023-03-05,4.073500000000001e-05
2023-03-06,4.066750000000001e-05
2023-03-07,3.997750000000001e-05
2023-03-08,3.9885e-05
2023-03-09,4.026750000000001e-05
2023-03-10,3.9852500000000005e-05
2023-03-11,3.881000000000001e-05
2023-03-12,3.741250000000001e-05
2023-03-13,3.554000000000001e-05
2023-03-14,3.6932500000000006e-05
2023-03-15,3.530500000000001e-05
2023-03-16,3.744250000000001e-05
2023-03-17,3.699500000000001e-05
2023-03-18,3.9815000000000004e-05
2023-03-19,3.8730000000000004e-05
2023-03-20,3.790250000000001e-05
2023-03-21,3.588000000000001e-05
2023-03-22,3.5417500000000004e-05
2023-03-23,3.9720000000000006e-05
2023-03-24,3.927750000000001e-05
2023-03-25,3.984000000000001e-05
2023-03-26,4.1222500000000014e-05
2023-03-27,4.002750000000001e-05
2023-03-28,4.061750000000001e-05
2023-03-29,4.026750000000001e-05
2023-03-30,4.337000000000001e-05
2023-03-31,4.458500000000001e-05
2023-04-01,4.365500000000001e-05
2023-04-02,4.342500000000001e-05
2023-04-03,4.1462500000000005e-05
2023-04-04,4.1985000000000005e-05
2023-04-05,4.127750000000001e-05
2023-04-06,4.047750000000001e-05
2023-04-07,4.126250000000001e-05
2023-04-08,4.084750000000001e-05
2023-04-09,4.382500000000001e-05
2023-04-10,4.2977500000000007e-05
2023-04-11,4.49075e-05
2023-04-12,4.526000000000001e-05
2023-04-13,4.589250000000001e-05
2023-04-14,4.542000000000001e-05
2023-04-15,4.232750000000001e-05
2023-04-16,4.156250000000001e-05
2023-04-17,3.955250000000001e-05
2023-04-18,4.048000000000001e-05
2023-04-19,4.122000000000001e-05
2023-04-20,4.0292500000000014e-05
2023-04-21,4.121500000000001e-05
2023-04-22,4.258e-05
2023-04-23,4.247500000000001e-05
2023-04-24,4.311750000000001e-05
2023-04-25,4.1695000000000007e-05
2023-04-26,4.234250000000001e-05
2023-04-27,4.2135e-05
2023-04-28,4.267000000000001e-05
2023-04-29,4.413000000000001e-05
2023-04-30,4.349750000000001e-05
2023-05-01,4.397000000000001e-05
2023-05-02,4.426500000000001e-05
2023-05-03,4.676500000000001e-05
2023-05-04,4.886000000000001e-05
2023-05-05,5.194250000000001e-05
2023-05-06,5.3305000000000005e-05
2023-05-07,4.984000000000001e-05
2023-05-08,4.990250000000001e-05
2023-05-09,4.882000000000001e-05
2023-05-10,4.557500000000001e-05
2023-05-11,4.789000000000001e-05
2023-05-12,4.9117500000000005e-05
2023-05-13,5.058500000000001e-05
2023-05-14,5.123500000000001e-05
2023-05-15,5.239250000000001e-05
2023-05-16,5.185750000000001e-05
2023-05-17,5.0292500000000014e-05
2023-05-18,4.626750000000001e-05
2023-05-19,4.670250000000001e-05
2023-05-20,4.700750000000001e-05
2023-05-21,4.568250000000001e-05
2023-05-22,4.9312500000000006e-05
2023-05-23,4.902000000000001e-05
2023-05-24,5.068000000000001e-05
2023-05-25,5.143750000000001e-05
2023-05-26,5.162000000000001e-05
2023-05-27,5.381750000000001e-05
2023-05-28,5.162500000000001e-05
2023-05-29,5.2595000000000014e-05
2023-05-30,4.410000000000001e-05
2023-05-31,3.6487500000000006e-05
2023-06-01,1.5892500000000004e-05
2023-06-02,1.5875000000000003e-05
2023-06-03,1.6692500000000003e-05
2023-06-04,1.8117500000000004e-05
2023-06-05,1.7452500000000003e-05
2023-06-06,1.7812500000000003e-05
2023-06-07,1.72675e-05
2023-06-08,1.7365e-05
2023-06-09,1.6815000000000004e-05
2023-06-10,1.7775000000000002e-05
2023-06-11,1.7627500000000004e-05
2023-06-12,1.7342500000000005e-05
2023-06-13,1.7665e-05
2023-06-14,1.7360000000000003e-05
2023-06-15,1.9105000000000004e-05
2023-06-16,1.9082500000000002e-05
2023-06-17,1.9642500000000004e-05
2023-06-18,1.9432500000000004e-05
2023-06-19,1.7272500000000004e-05
2023-06-20,1.8545000000000006e-05
2023-06-21,1.79275e-05
2023-06-22,1.6662500000000005e-05
2023-06-23,1.5865000000000005e-05
2023-06-24,1.58e-05
2023-06-25,1.5690000000000004e-05
2023-06-26,1.5345000000000003e-05
2023-06-27,1.5877500000000002e-05
2023-06-28,1.4955000000000003e-05
2023-06-29,1.3835000000000002e-05
2023-06-30,1.2372500000000002e-05
2023-07-01,7.5775000000000016e-06
2023-07-02,7.287500000000002e-06
2023-07-03,6.3950000000000015e-06
2023-07-04,5.985000000000001e-06
2023-07-05,4.9425000000000005e-06
2023-07-06,5.605000000000001e-06
2023-07-07,5.910000000000001e-06
2023-07-08,5.9075000000000015e-06
2023-07-09,5.605000000000001e-06
2023-07-10,5.282500000000001e-06
2023-07-11,6.335000000000001e-06
2023-07-12,6.875000000000002e-06
2023-07-13,8.725000000000002e-06
2023-07-14,9.297500000000002e-06
2023-07-15,1.1055000000000002e-05
2023-07-16,1.1622500000000003e-05
2023-07-17,1.3192500000000003e-05
2023-07-18,1.4750000000000003e-05
2023-07-19,1.5382500000000004e-05
2023-07-20,1.4050000000000003e-05
2023-07-21,1.2630000000000003e-05
2023-07-22,1.1730000000000003e-05
2023-07-23,1.2802500000000002e-05
2023-07-24,1.3897500000000002e-05
2023-07-25,1.3142500000000002e-05
2023-07-26,1.2407500000000003e-05
2023-07-27,1.0037500000000002e-05
2023-07-28,1.0095000000000002e-05
2023-07-29,8.352500000000002e-06
2023-07-30,6.800000000000002e-06
2023-07-31,5.382500000000001e-06
2023-08-01,5.000000000000001e-06
2023-08-02,6.095000000000002e-06
2023-08-03,6.810000000000002e-06
2023-08-04,7.300000000000001e-06
2023-08-05,7.440000000000002e-06
2023-08-06,6.435000000000001e-06
2023-08-07,5.1650000000000005e-06
2023-08-08,3.7275000000000007e-06
2023-08-09,3.9025e-06
2023-08-10,4.0675000000000004e-06
2023-08-11,4.677500000000001e-06
2023-08-12,4.907500000000001e-06
2023-08-13,5.1450000000000016e-06
2023-08-14,4.590000000000001e-06
2023-08-15,4.645e-06
2023-08-16,4.345000000000001e-06
2023-08-17,4.4600000000000005e-06
2023-08-18,4.985000000000001e-06
2023-08-19,6.545000000000002e-06
2023-08-20,6.555000000000002e-06
2023-08-21,6.322500000000002e-06
2023-08-22,6.127500000000001e-06
2023-08-23,6.487500000000002e-06
2023-08-24,7.772500000000002e-06
2023-08-25,7.662500000000002e-06
2023-08-26,7.450000000000001e-06
2023-08-27,7.112500000000002e-06
2023-08-28,6.847500000000001e-06
2023-08-29,6.207500000000001e-06
2023-08-30,5.820000000000001e-06
2023-08-31,5.380000000000001e-06
2023-09-01,5.705000000000001e-06
2023-09-02,5.237500000000001e-06
2023-09-03,5.130000000000001e-06
2023-09-04,4.915000000000001e-06
2023-09-05,4.887500000000001e-06
2023-09-06,4.512500000000001e-06
2023-09-07,5.127500000000001e-06
2023-09-08,6.225000000000001e-06
2023-09-09,6.785000000000001e-06
2023-09-10,6.990000000000001e-06
2023-09-11,7.210000000000002e-06
2023-09-12,8.257500000000002e-06
2023-09-13,8.885000000000002e-06
2023-09-14,8.665000000000001e-06
2023-09-15,9.080000000000001e-06
2023-09-16,9.260000000000001e-06
2023-09-17,9.550000000000002e-06
2023-09-18,1.1502500000000004e-05
2023-09-19,1.3037500000000003e-05
2023-09-20,1.4640000000000002e-05
2023-09-21,1.5657500000000004e-05
2023-09-22,1.6165000000000002e-05
2023-09-23,1.4617500000000004e-05
2023-09-24,1.1700000000000003e-05
2023-09-25,8.190000000000001e-06
2023-09-26,5.977500000000001e-06
2023-09-27,6.140000000000001e-06
2023-09-28,5.840000000000001e-06
2023-09-29,5.305000000000001e-06
2023-09-30,4.995000000000001e-06
2023-10-01,7.137500000000001e-06
2023-10-02,7.522500000000002e-06
2023-10-03,8.825000000000001e-06
2023-10-04,8.515000000000002e-06
2023-10-05,8.167500000000003e-06
2023-10-06,8.517500000000001e-06
2023-10-07,9.127500000000002e-06
2023-10-08,1.0617500000000001e-05
2023-10-09,1.0887500000000002e-05
2023-10-10,1.0897500000000002e-05
2023-10-11,1.0855000000000002e-05
2023-10-12,9.872500000000002e-06
2023-10-13,9.952500000000002e-06
2023-10-14,1.0197500000000002e-05
2023-10-15,9.890000000000002e-06
2023-10-16,9.487500000000002e-06
2023-10-17,9.707500000000002e-06
2023-10-18,1.1080000000000002e-05
2023-10-19,1.2945000000000002e-05
2023-10-20,1.2535000000000001e-05
2023-10-21,1.2860000000000002e-05
2023-10-22,1.2040000000000003e-05
2023-10-23,1.2815000000000004e-05
2023-10-24,1.2002500000000002e-05
2023-10-25,1.2307500000000002e-05
2023-10-26,1.1370000000000003e-05
2023-10-27,1.0915000000000003e-05
2023-10-28,1.0687500000000002e-05
2023-10-29,1.1015000000000002e-05
2023-10-30,1.1587500000000002e-05
2023-10-31,1.1937500000000002e-05
2023-11-01,2.9615000000000007e-05
2023-11-02,3.289750000000001e-05
2023-11-03,3.4945000000000005e-05
2023-11-04,3.413000000000001e-05
2023-11-05,3.293750000000001e-05
2023-11-06,3.26375e-05
2023-11-07,3.1845000000000004e-05
2023-11-08,3.482500000000001e-05
2023-11-09,3.47925e-05
2023-11-10,3.4965e-05
2023-11-11,3.496000000000001e-05
2023-11-12,3.39175e-05
2023-11-13,3.3032500000000006e-05
2023-11-14,3.4715e-05
2023-11-15,3.847500000000001e-05
2023-11-16,3.986000000000001e-05
2023-11-17,4.211000000000001e-05
2023-11-18,4.360000000000001e-05
2023-11-19,4.277750000000001e-05
2023-11-20,3.969000000000001e-05
2023-11-21,3.5815e-05
2023-11-22,3.359e-05
2023-11-23,3.413750000000001e-05
2023-11-24,3.3320000000000006e-05
2023-11-25,3.2550000000000005e-05
2023-11-26,3.0052500000000004e-05
2023-11-27,2.8340000000000006e-05
2023-11-28,3.097500000000001e-05
2023-11-29,3.269250000000001e-05
2023-11-30,3.604000000000001e-05
2023-12-01,4.301e-05
2023-12-02,4.3462500000000006e-05
2023-12-03,4.403000000000001e-05
2023-12-04,4.304000000000001e-05
2023-12-05,4.370250000000001e-05
2023-12-06,4.4212500000000004e-05
2023-12-07,4.445250000000001e-05
2023-12-08,4.306000000000001e-05
2023-12-09,4.2587500000000005e-05
2023-12-10,4.409750000000001e-05
2023-12-11,4.502750000000001e-05
2023-12-12,4.466500000000001e-05
2023-12-13,4.162750000000001e-05
2023-12-14,4.142000000000001e-05
2023-12-15,4.173250000000001e-05
2023-12-16,4.2445000000000004e-05
2023-12-17,4.336750000000001e-05
2023-12-18,4.412250000000001e-05
2023-12-19,4.548000000000001e-05
2023-12-20,4.612250000000001e-05
2023-12-21,4.6227500000000004e-05
2023-12-22,4.354500000000001e-05
2023-12-23,4.350500000000001e-05
2023-12-24,4.237000000000001e-05
2023-12-25,4.220750000000001e-05
2023-12-26,4.262000000000001e-05
2023-12-27,4.3947500000000006e-05
2023-12-28,4.457500000000001e-05
2023-12-29,4.519250000000001e-05
2023-12-30,4.0322500000000006e-05
2023-12-31,3.514750000000001e-05
