date,water_area_km2
2023-01-01,1118544.2228413976
2023-01-02,1219959.048097414
2023-01-03,1141940.0836180488
2023-01-04,1247856.8431917345
2023-01-05,1205513.90460572
2023-01-06,1184167.162374155
2023-01-07,1267132.3838640035
2023-01-08,1194245.6710164836
2023-01-09,1348857.7187417254
2023-01-10,1199939.4994802321
2023-01-11,1265203.334583477
2023-01-12,1260890.114113443
2023-01-13,1326336.1126219018
2023-01-14,1410258.9921613734
2023-01-15,1243034.0444928939
2023-01-16,1260129.5593932264
2023-01-17,1206814.5063434253
2023-01-18,1199507.0179988616
2023-01-19,1264203.2911208752
2023-01-20,1275099.3484924121
2023-01-21,1251035.276309548
2023-01-22,1198624.3747612094
2023-01-23,1172425.4203821018
2023-01-24,1236781.2782239474
2023-01-25,1279323.4616010005
2023-01-26,1295322.6817147564
2023-01-27,1286598.3252242766
2023-01-28,1383237.5828511005
2023-01-29,1276521.3010278693
2023-01-30,1209501.7815338494
2023-01-31,1255697.3442868541
2023-02-01,1340524.4956758195
2023-02-02,1416336.662024827
2023-02-03,1257079.371710235
2023-02-04,1180199.0567814764
2023-02-05,1262644.3193721792
2023-02-06,1335982.33009955
2023-02-07,1423598.3267401615
2023-02-08,1325141.3609088254
2023-02-09,1257435.5965040086
2023-02-10,1288272.6627418695
2023-02-11,1186439.6653981826
2023-02-12,1283444.0170851748
2023-02-13,1217220.9690545457
2023-02-14,1337383.49565455
2023-02-15,1252096.3635147328
2023-02-16,1262088.4936574127
2023-02-17,1249541.661530198
2023-02-18,1322350.1280776467
2023-02-19,1466614.6904405751
2023-02-20,1289117.3022949218
2023-02-21,1317889.6292409014
2023-02-22,1256077.5898273773
2023-02-23,1181926.9052178857
2023-02-24,1251429.9616892997
2023-02-25,1336260.8324832683
2023-02-26,1501104.9635835877
2023-02-27,1294179.5655149464
2023-02-28,1245634.6711853156
2023-03-01,1143908.4714401143
2023-03-02,1180208.6087028764
2023-03-03,1386497.4244625692
2023-03-04,1268669.1323931378
2023-03-05,1414560.3856529573
2023-03-06,1216827.4982011514
2023-03-07,1253356.386097122
2023-03-08,1339782.8858930382
2023-03-09,1306901.0631381255
2023-03-10,1406887.5274681055
2023-03-11,1225665.4495216063
2023-03-12,1295329.8983192702
2023-03-13,1256071.0435821104
2023-03-14,1235437.3530057739
2023-03-15,1334951.3883394254
2023-03-16,1171482.4366642905
2023-03-17,1243286.9336374037
2023-03-18,1123946.9485991176
2023-03-19,1142412.236201543
2023-03-20,1225270.8278480112
2023-03-21,1196896.7024836545
2023-03-22,1188398.9086044761
2023-03-23,1241266.0424521123
2023-03-24,1106530.7536936277
2023-03-25,1209058.2801384772
2023-03-26,1266492.6490719526
2023-03-27,1331588.646251663
2023-03-28,1219465.9469602671
2023-03-29,1300679.3308368772
2023-03-30,1228791.0721198078
2023-03-31,1216027.8013146368
2023-04-01,1268736.217836306
2023-04-02,1305968.764901301
2023-04-03,1462371.0545265893
2023-04-04,1290046.5917509748
2023-04-05,1354603.7584695574
2023-04-06,1304897.1128686739
2023-04-07,1264830.2520350951
2023-04-08,1317436.1948922074
2023-04-09,1278884.0314901907
2023-04-10,1308825.0706732664
2023-04-11,1231559.0056372548
2023-04-12,1160200.7866701584
2023-04-13,1165470.4748596647
2023-04-14,1336200.7032365147
2023-04-15,1310287.072069145
2023-04-16,1223341.5443393204
2023-04-17,1254237.251363097
2023-04-18,1211299.2323252482
2023-04-19,1294858.0916651557
2023-04-20,1302363.2043798896
2023-04-21,1280670.521803586
2023-04-22,1360565.7094430001
2023-04-23,1239413.7380577317
2023-04-24,1320809.0799844102
2023-04-25,1286070.357920254
2023-04-26,1164461.6320256367
2023-04-27,1149135.5045994287
2023-04-28,1123802.8633068418
2023-04-29,1150691.7855689086
2023-04-30,1137520.9373414724
2023-05-01,1204309.0423649633
2023-05-02,1312952.3134914131
2023-05-03,1192265.1133866839
2023-05-04,1278595.3364700929
2023-05-05,1115805.8974704137
2023-05-06,1217198.336595403
2023-05-07,1180046.5093670408
2023-05-08,1182465.8657505848
2023-05-09,1408332.8867976468
2023-05-10,1274175.612664386
2023-05-11,1225378.0273871399
2023-05-12,1159935.4021430754
2023-05-13,1143041.3631264805
2023-05-14,1296567.4156696072
2023-05-15,1213026.6222617424
2023-05-16,1256062.7777146455
2023-05-17,1229087.6570752284
2023-05-18,1129266.6009045646
2023-05-19,1229164.4449137612
2023-05-20,1192400.2985745429
2023-05-21,1178534.4783048271
2023-05-22,1160573.8569430034
2023-05-23,1183027.7398392323
2023-05-24,1176552.3712804527
2023-05-25,1243488.0904382523
2023-05-26,1426158.1419218879
2023-05-27,1284164.8439023318
2023-05-28,1248676.4660333532
2023-05-29,1320654.2246967356
2023-05-30,1291548.4823791701
2023-05-31,1318438.5471500568
2023-06-01,1329341.224435954
2023-06-02,1418690.9983381354
2023-06-03,1282461.9337339948
2023-06-04,1117391.8067987843
2023-06-05,1151088.0037244966
2023-06-06,1211890.8466507918
2023-06-07,1204711.5036351858
2023-06-08,1166192.5483028563
2023-06-09,1180744.588254864
2023-06-10,1182656.6262365673
2023-06-11,1166110.3148023086
2023-06-12,1195275.8144914059
2023-06-13,1250758.909700855
2023-06-14,1321967.7247004951
2023-06-15,1249208.0651881308
2023-06-16,1230329.6458304632
2023-06-17,1133464.836983866
2023-06-18,1239163.3756951976
2023-06-19,1310007.713435254
2023-06-20,1321158.390967301
2023-06-21,1326727.0242303894
2023-06-22,1161696.0385332757
2023-06-23,1081504.8070914198
2023-06-24,1128044.7924823035
2023-06-25,1181984.5132863917
2023-06-26,1285812.3520454003
2023-06-27,1250686.9008082119
2023-06-28,1287975.4794666914
2023-06-29,1195069.8299255616
2023-06-30,1293738.3998175305
2023-07-01,1294293.107372218
2023-07-02,1248792.4892654868
2023-07-03,1328136.2151597624
2023-07-04,1186455.561250289
2023-07-05,1203931.056416881
2023-07-06,1154563.7522335579
2023-07-07,1215785.8038418146
2023-07-08,1328558.40394822
2023-07-09,1179059.8127237698
2023-07-10,1218459.7852150844
2023-07-11,1141229.4176361617
2023-07-12,1169872.9102621442
2023-07-13,1213099.1602265234
2023-07-14,1214840.0377632645
2023-07-15,1148685.2756930059
2023-07-16,1114050.3789588942
2023-07-17,946270.8162570965
2023-07-18,993373.1484351326
2023-07-19,1082547.1966890467
2023-07-20,1098122.7195799015
2023-07-21,1042075.4998824239
2023-07-22,1111380.211750029
2023-07-23,1170070.7308525066
2023-07-24,1100040.4413966676
2023-07-25,1179003.231323083
2023-07-26,1141949.7884197244
2023-07-27,1316936.3990306472
2023-07-28,1264391.972472786
2023-07-29,1224613.6803408023
2023-07-30,1228036.26922818
2023-07-31,1210632.0174425154
2023-08-01,1217126.294293845
2023-08-02,1105577.014029546
2023-08-03,1130120.2878554552
2023-08-04,1159611.030427951
2023-08-05,1116316.0045969493
2023-08-06,1147808.1167690118
2023-08-07,1133712.5920462776
2023-08-08,1174404.8181757033
2023-08-09,1206689.7836325474
2023-08-10,1214933.4286663276
2023-08-11,1204112.900816322
2023-08-12,1241335.1898229553
2023-08-13,1203918.9017584035
2023-08-14,1226246.527097232
2023-08-15,1154936.6761790926
2023-08-16,1164771.9712543844
2023-08-17,1152708.592497369
2023-08-18,1286521.0727303314
2023-08-19,1215469.3393408547
2023-08-20,1136301.7486201958
2023-08-21,1125700.8233058872
2023-08-22,1128133.7976503265
2023-08-23,1107627.7833680548
2023-08-24,1136621.6851988256
2023-08-25,1222392.032062948
2023-08-26,1148062.0708566073
2023-08-27,1192389.8217246018
2023-08-28,1162287.0199088966
2023-08-29,1125010.21854234
2023-08-30,1243341.2662287806
2023-08-31,1253912.389217195
2023-09-01,1182991.6765202167
2023-09-02,1181680.6804219212
2023-09-03,1104446.4135640126
2023-09-04,1127923.8434997564
2023-09-05,1184050.1270108535
2023-09-06,1122651.947626566
2023-09-07,1196819.784363034
2023-09-08,994334.6058292073
2023-09-09,980875.1356402697
2023-09-10,1039959.9992854426
2023-09-11,1189452.945312533
2023-09-12,1106231.4491347969
2023-09-13,1084569.7212350569
2023-09-14,996710.5254986909
2023-09-15,1023738.7612707176
2023-09-16,1184257.6391096045
2023-09-17,1135670.0299067101
2023-09-18,1264956.4324557188
2023-09-19,1196507.5879107714
2023-09-20,1126673.18348995
2023-09-21,1221636.0438784813
2023-09-22,1190264.408901358
2023-09-23,1270426.2779097732
2023-09-24,1296794.2673084897
2023-09-25,1256806.5677022217
2023-09-26,1280753.7449746928
2023-09-27,1203093.6915400517
2023-09-28,1230176.573676944
2023-09-29,1061200.1085228608
2023-09-30,1172233.3259423715
2023-10-01,1188065.070092878
2023-10-02,1164285.9103141264
2023-10-03,1151759.869720584
2023-10-04,1085921.6702772544
2023-10-05,1174882.7668718856
2023-10-06,1205769.8080038729
2023-10-07,1252986.6287534507
2023-10-08,1207600.2954832106
2023-10-09,1130659.158381879
2023-10-10,1211541.2144044447
2023-10-11,1199789.8049308967
2023-10-12,1196301.5114523934
2023-10-13,1221219.4675086162
2023-10-14,1247667.907408944
2023-10-15,1240925.7123099768
2023-10-16,1147653.099918223
2023-10-17,1273344.8219402519
2023-10-18,1219250.3404240748
2023-10-19,1271734.7328474438
2023-10-20,1279006.5060668183
2023-10-21,1126263.9397014275
2023-10-22,1170410.7019278242
2023-10-23,1099325.0475676032
2023-10-24,1233285.6122610983
2023-10-25,1203032.1123082864
2023-10-26,1133617.4387354336
2023-10-27,1200550.7296408096
2023-10-28,1148587.782984532
2023-10-29,1185667.5979579943
2023-10-30,1249720.356703514
2023-10-31,1247130.8646518749
2023-11-01,1152024.7972123886
2023-11-02,1069297.873365049
2023-11-03,1155254.260667558
2023-11-04,1163202.8790980885
2023-11-05,1236516.9119433064
2023-11-06,1149756.0262667788
2023-11-07,1175814.5782309335
2023-11-08,1071798.7167530858
2023-11-09,1041277.1076040678
2023-11-10,1205551.504133219
2023-11-11,1188521.759717156
2023-11-12,1205503.408704772
2023-11-13,1194270.8036246717
2023-11-14,1189551.4343044218
2023-11-15,1214076.0193088688
2023-11-16,1291919.9143214158
2023-11-17,1272635.982808992
2023-11-18,1184472.0934013298
2023-11-19,1164204.5225984103
2023-11-20,1205297.2065936048
2023-11-21,1185822.0308103114
2023-11-22,1423913.9469627046
2023-11-23,1235513.5856330816
2023-11-24,1265220.7403532502
2023-11-25,1180292.2325004418
2023-11-26,1216582.0044337274
2023-11-27,1300823.2716102013
2023-11-28,1207008.595115219
2023-11-29,1339682.6796458839
2023-11-30,1161485.1343829818
2023-12-01,1136366.8998886063
2023-12-02,1081446.421084177
2023-12-03,1129020.783249884
2023-12-04,1178545.0690051543
2023-12-05,1188482.2185143393
2023-12-06,1251599.4915697104
2023-12-07,1193636.147553808
2023-12-08,1103227.7738921945
2023-12-09,1170035.1798843024
2023-12-10,1178504.0554968605
2023-12-11,1243869.7800295355
2023-12-12,1122552.0403041975
2023-12-13,1065153.4565835577
2023-12-14,1062107.9943893496
2023-12-15,1055163.2032122428
2023-12-16,1223221.7792474371
2023-12-17,1141357.3138679792
2023-12-18,1283438.2206687953
2023-12-19,1221272.0292038103
2023-12-20,1135930.1984639375
2023-12-21,1200253.6321580762
2023-12-22,1188164.7431854059
2023-12-23,1267456.1578976428
2023-12-24,1227118.5683727658
2023-12-25,1125388.3441301407
2023-12-26,1133389.251180169
2023-12-27,1160151.3114639625
2023-12-28,1280007.245161451
2023-12-29,1173653.6657299534
2023-12-30,1047212.2834110662
2023-12-31,1173509.5795430613
